,Green Transition,Greenhouse Effect,Loss of biodiversity,Extreme weather events,CO2,Emissions,Global Warming,Glaciers melting,Renewable Energy,Misinformation,sea level rise,heatwaves,drought,wildfires,flooding,storms,crop failure,water scarcity,ecosystem collapse,climate refugees,Natural Disaster,Clean Energy,Net Zero,Tesla,Heatwaves
drought,0.0,1.0,10.0,34.0,5.0,15.0,17.0,2.0,0.0,0.0,27.0,223.0,0.0,71.0,28.0,47.0,118.0,88.0,11.0,13.0,6.0,0.0,0.0,0.0,223.0
wildfires,0.0,1.0,1.0,28.0,5.0,4.0,8.0,4.0,0.0,0.0,5.0,109.0,71.0,0.0,13.0,20.0,17.0,2.0,4.0,5.0,5.0,0.0,2.0,0.0,109.0
flooding,0.0,6.0,0.0,24.0,1.0,3.0,6.0,6.0,0.0,0.0,58.0,42.0,28.0,13.0,0.0,28.0,19.0,13.0,3.0,4.0,4.0,0.0,1.0,0.0,42.0
storms,0.0,2.0,2.0,53.0,0.0,3.0,9.0,1.0,0.0,0.0,23.0,119.0,47.0,20.0,28.0,0.0,8.0,2.0,4.0,4.0,3.0,0.0,2.0,0.0,119.0
crop failure,0.0,0.0,0.0,6.0,2.0,3.0,7.0,1.0,1.0,0.0,8.0,17.0,118.0,17.0,19.0,8.0,0.0,9.0,2.0,2.0,11.0,0.0,1.0,0.0,17.0
water scarcity,0.0,0.0,1.0,2.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,7.0,88.0,2.0,13.0,2.0,9.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,7.0
ecosystem collapse,0.0,0.0,0.0,1.0,4.0,8.0,14.0,0.0,1.0,0.0,3.0,3.0,11.0,4.0,3.0,4.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0
climate refugees,0.0,0.0,0.0,0.0,1.0,9.0,4.0,0.0,1.0,1.0,3.0,1.0,13.0,5.0,4.0,4.0,2.0,2.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0
Natural Disaster,0.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,6.0,5.0,4.0,3.0,11.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,8.0
Clean Energy,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
Net Zero,2.0,2.0,0.0,2.0,0.0,39.0,0.0,0.0,1.0,0.0,2.0,109.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,109.0
Tesla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heatwaves,0.0,4.0,3.0,41.0,6.0,94.0,20.0,0.0,0.0,0.0,17.0,1512.0,223.0,109.0,42.0,119.0,17.0,7.0,3.0,1.0,8.0,6.0,109.0,0.0,0.0
